City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Nuuk,GL,2023-01-26 00:00:19,64.1835,-51.7216,23.85,92,100,11.61
212,Alekseyevskaya,RU,2023-01-26 00:04:07,50.2896,42.1845,16.81,89,5,3.06
213,Umm Kaddadah,SD,2023-01-26 00:04:07,13.6017,26.6876,63.54,19,66,11.97
214,Sao Filipe,CV,2023-01-26 00:04:08,14.8961,-24.4956,70.57,69,100,5.86
215,Boksitogorsk,RU,2023-01-26 00:04:08,59.474,33.8485,31.6,98,100,10.38
216,Nouadhibou,MR,2023-01-26 00:04:08,20.931,-17.0347,65.26,67,87,15.75
217,Christchurch,NZ,2023-01-26 00:04:06,-43.5333,172.6333,81.32,39,70,8.05
218,Thoen,TH,2023-01-26 00:04:09,17.6129,99.2161,61.05,81,1,0.45
219,Biak,ID,2023-01-26 00:04:09,-0.9131,122.8766,79.43,74,100,2.71
220,Seymchan,RU,2023-01-26 00:04:10,62.8833,152.4333,-21.69,93,100,4.81
221,Astoria,US,2023-01-26 00:04:10,46.1879,-123.8313,50.86,80,0,8.05
222,Narsaq,GL,2023-01-26 00:04:10,60.9167,-46.05,32.22,99,100,8.01
223,Pemberton,CA,2023-01-26 00:00:27,50.3164,-122.8027,42.12,93,49,0.11
224,Mahibadhoo,MV,2023-01-26 00:02:01,3.7833,72.9667,79.3,77,97,8.72
225,Tasiilaq,GL,2023-01-26 00:04:11,65.6145,-37.6368,26.76,95,100,22.91
226,Buraydah,SA,2023-01-26 00:04:11,26.326,43.975,54.93,81,93,12.15
227,Katsuura,JP,2023-01-26 00:00:33,35.1333,140.3,37.04,34,21,1.59
228,Kamskiye Polyany,RU,2023-01-26 00:04:12,55.4307,51.4171,23.81,96,100,11.23
229,Swan River,CA,2023-01-26 00:04:12,52.1058,-101.2676,7.21,98,96,1.21
230,Bilma,NE,2023-01-26 00:03:13,18.6853,12.9164,70.57,13,4,6.49
231,Cravo Norte,CO,2023-01-26 00:05:13,6.3017,-70.2041,83.03,37,15,6.98
232,Kaitangata,NZ,2023-01-26 00:01:59,-46.2817,169.8464,70.5,55,93,6.13
233,Ballitoville,ZA,2023-01-26 00:05:13,-29.539,31.2144,70.25,86,100,5.68
234,Sinnamary,GF,2023-01-26 00:05:13,5.3833,-52.95,74.77,80,49,5.7
235,Airai,TL,2023-01-26 00:05:14,-8.9266,125.4092,67.95,70,96,1.45
236,Koulikoro,ML,2023-01-26 00:05:14,14.0,-7.75,77.7,21,71,8.01
237,Balkhash,KZ,2023-01-26 00:05:14,46.844,74.9804,-7.62,98,17,7.7
238,Khorixas,NA,2023-01-26 00:05:15,-20.3667,14.9667,74.25,57,100,4.54
239,Tuktoyaktuk,CA,2023-01-26 00:05:15,69.4541,-133.0374,-14.8,76,20,10.36
240,Trelew,AR,2023-01-26 00:01:36,-43.249,-65.3051,75.65,20,97,3.74
241,Karratha,AU,2023-01-26 00:05:16,-20.7377,116.8463,88.43,56,11,10.16
242,Pontes E Lacerda,BR,2023-01-26 00:05:16,-15.2261,-59.3353,74.43,94,100,2.37
243,Tiznit,MA,2023-01-26 00:05:17,29.5833,-9.5,46.83,75,0,5.66
244,Middelburg,ZA,2023-01-26 00:05:17,-25.7751,29.4648,58.55,85,4,18.34
245,Maragogi,BR,2023-01-26 00:05:17,-9.0122,-35.2225,78.94,74,5,12.39
246,Port Hedland,AU,2023-01-26 00:05:18,-20.3167,118.5667,89.65,62,42,9.22
247,Surgut,RU,2023-01-26 00:05:18,61.25,73.4167,8.78,84,0,11.18
248,Zhigansk,RU,2023-01-26 00:05:18,66.7697,123.3711,-35.86,97,100,6.91
249,Barrafranca,IT,2023-01-26 00:05:19,37.3791,14.2011,42.12,93,99,1.01
250,Marzuq,YE,2023-01-26 00:05:19,14.4,46.4667,59.07,84,19,6.58
251,Half Moon Bay,US,2023-01-26 00:00:46,37.4636,-122.4286,67.91,48,0,13.8
252,Itarema,BR,2023-01-26 00:05:19,-2.9248,-39.9167,77.05,82,89,7.25
253,Opuwo,NA,2023-01-26 00:01:40,-18.0607,13.84,69.3,70,96,4.43
254,Arkhangelskoye,RU,2023-01-26 00:05:20,55.8549,35.3287,26.8,79,100,11.39
255,Progreso,MX,2023-01-26 00:05:20,21.2833,-89.6667,79.11,86,1,16.69
256,Jalu,LY,2023-01-26 00:05:21,29.0331,21.5482,59.43,40,71,16.93
257,Pacific Grove,US,2023-01-26 00:00:22,36.6177,-121.9166,65.21,49,0,8.99
258,Bonwapitse,BW,2023-01-26 00:05:21,-23.0766,26.7037,70.7,56,4,17.07
259,Mongar,BT,2023-01-26 00:05:21,27.2747,91.2396,41.36,79,97,5.21
260,Simbakoro,SL,2023-01-26 00:05:22,8.6,-11.0167,68.83,94,83,3.27
261,Arusha,TZ,2023-01-26 00:05:22,-3.3667,36.6833,62.49,77,67,5.35
262,Adrar,MR,2023-01-26 00:05:22,20.5022,-10.0711,66.42,12,94,10.58
263,Paramonga,PE,2023-01-26 00:05:23,-10.6667,-77.8333,73.09,76,77,7.11
264,Luderitz,NA,2023-01-26 00:05:23,-26.6481,15.1594,63.72,65,0,19.33
265,Nieuw Amsterdam,SR,2023-01-26 00:05:24,5.8833,-55.0833,76.01,83,21,6.08
266,Vondrozo,MG,2023-01-26 00:05:24,-22.8167,47.2833,68.72,98,100,6.8
267,Marsabit,KE,2023-01-26 00:05:24,2.3284,37.9899,68.45,40,0,7.31
268,Labuhan,ID,2023-01-26 00:05:25,-6.8844,112.2051,77.59,86,100,7.31
269,Flinders,AU,2023-01-26 00:05:25,-34.5833,150.8552,88.05,69,1,7.0
270,Xai-Xai,MZ,2023-01-26 00:05:25,-25.0519,33.6442,76.32,81,3,13.27
271,Savelugu,GH,2023-01-26 00:05:26,9.6244,-0.8253,84.99,15,0,5.88
272,Palmer,US,2023-01-26 00:05:26,42.1584,-72.3287,34.5,82,100,8.05
273,San Patricio,US,2023-01-26 00:05:26,28.017,-97.5169,60.84,45,0,5.39
274,Bereda,ES,2023-01-26 00:06:27,43.2686,-7.5406,41.41,99,84,3.4
275,Grimsby,GB,2023-01-26 00:06:27,53.5654,-0.0755,41.29,90,16,13.8
276,Saquarema,BR,2023-01-26 00:06:28,-22.92,-42.5103,74.08,89,6,4.36
277,Tahe,CN,2023-01-26 00:06:28,52.3333,124.7333,-17.73,98,100,0.67
278,Kenitra,MA,2023-01-26 00:06:28,34.261,-6.5802,38.16,76,1,7.27
279,Igarka,RU,2023-01-26 00:06:29,67.4667,86.5833,-3.59,93,100,21.85
280,Chipinge,ZW,2023-01-26 00:06:29,-20.1883,32.6236,62.76,88,76,6.76
281,Tawang,IN,2023-01-26 00:06:29,27.5833,91.8667,32.68,55,22,5.5
282,Saint George,US,2023-01-26 00:06:30,37.1041,-113.5841,49.42,31,0,17.27
283,Yarmouth,US,2023-01-26 00:06:30,41.7057,-70.2286,39.96,88,100,13.8
284,Poum,NC,2023-01-26 00:06:30,-20.2333,164.0167,83.12,75,4,7.74
285,Auki,SB,2023-01-26 00:06:31,-8.7676,160.7034,83.05,74,99,1.61
286,Verkhnyaya Khava,RU,2023-01-26 00:06:31,51.8404,39.9413,8.67,86,5,5.17
287,Methoni,GR,2023-01-26 00:06:32,36.8197,21.7049,58.21,77,100,24.2
288,Taitung,TW,2023-01-26 00:06:32,22.7583,121.1444,53.87,87,75,4.61
289,Kavieng,PG,2023-01-26 00:06:32,-2.5744,150.7967,83.75,69,100,8.88
290,Taksimo,RU,2023-01-26 00:06:33,56.3444,114.8794,-18.33,98,100,0.4
291,Kargil,IN,2023-01-26 00:06:33,34.5667,76.1,2.84,94,92,2.91
292,Saint Anthony,US,2023-01-26 00:06:33,45.0205,-93.218,25.86,84,100,16.11
293,Gondar,ET,2023-01-26 00:06:33,12.6,37.4667,58.51,29,11,5.64
